"Spotify.Streams","Spotify.Playlist.Count","YouTube.Views","YouTube.Likes","TikTok.Posts","TikTok.Views","Apple.Music.Playlist.Count","Shazam.Counts","AirPlay.Spins","Explicit.Track"
1014870547,114243,574257361,9631821,1033277,1519293340,122,4133474,18698,0
432634168,31429,699174305,2537896,128548,168805311,16,1109128,5054,0
923823292,218155,300905049,3235053,147432,619442138,143,2180167,128393,1
86262202,17907,17014183,149189,3048900,2990547999,10,316099,330,0
254118106,38980,404064054,2732944,951433,2737871422,70,821982,21512,0
187127704,18938,425484500,857540,8176,30085568,8,432240,5686,0
1150653471,195032,822892668,6651112,909432,812215684,112,4014637,61,1
1615152539,377159,887924965,7755679,111904,430258743,271,12370090,52893,1
939627795,67381,371522364,3979062,47277,265186570,61,4254554,26883,0
895051532,155100,619712411,5087544,161963,730346946,78,110053,18387,0
482021697,68578,1965829285,5786525,696400,289741256,25,2148531,2857,1
3071214106,375201,3366447481,27240268,10342366,5861939942,549,44842636,573733,0
194919563,12885,459414543,1879854,60675,61427214,19,134484,9315,0
61382407,7240,9977490,201210,37726462,147837262,15,3819161,10152,0
811700245,195603,168936854,1450642,321061,752325431,39,925014,5018,1
100186243,26116,20691770,124812,10300,28216441,41,505083,20568,0
285183501,28319,322857747,1566688,60681,125822489,6,411987,29,0
76305266,31142,59140995,748335,161889,159434907,8,1327579,12078,0
243703179,39210,134077658,1546430,2101619,2416911466,73,1598350,58076,1
912709169,94302,410395727,3097097,75146,303742856,69,1218835,36857,1
381501023,56234,933353581,7640646,239631,133544796,40,32256,22576,0
1182373720,201337,1260463421,8611729,319849,414475658,178,9253461,34082,1
53532212,9646,98671018,1371770,1952800,1659044866,1,1190146,110,0
164507374,29896,47201934,291689,127315,220946119,20,624045,146916,0
562983225,52754,1452593496,4997178,261129,314778494,25,3343573,9125,0
177952382,60714,217526800,1861229,1855774,2758905591,26,5257817,10488,0
503915156,116054,395172100,4550650,172195,485983172,10,5040350,28138,0
1398634184,177082,1084871745,7894095,884793,2877719483,145,2211960,54669,1
863631428,84796,1514451986,7876147,10083,108204850,113,8231077,48871,0
191569959,73054,55509965,448500,690,129718183,16,343759,12300,0
1321878145,189487,530778926,8470860,570442,2295813182,199,4647622,82181,1
991382346,187432,7412771,63854,183112,502553641,148,7721049,57577,0
154120297,30813,152723183,900381,645100,204594753,33,802018,6010,1
1021647566,253182,608425147,4576133,70684,179539671,139,13107981,2996,1
123191456,30942,152552030,910614,756819,1139849739,47,5687186,61030,0
427605317,56215,116140773,657247,17457,85185999,29,1075951,183702,0
